branch_name,branch_address,latitude,longitude
SHB Chi nhánh Thăng Long,"Số 91 Nguyễn Chí Thanh, Phường Láng Hạ, Quận Đống Đa, Hà Nội",14.788136,102.947562
SHB Chi nhánh Khánh Hòa - PGD 21,"Số 88 Trần Phú, Phường Lộc Thọ, TP Nha Trang, Khánh Hòa",12.739903,106.803498
SHB Chi nhánh Thanh Hóa - PGD 22,"Số 21 Đại lộ Lê Lợi, Phường Lam Sơn, TP Thanh Hóa",16.146024,106.235806
SHB Chi nhánh Sài Gòn - PGD 23,"Số 235 Nguyễn Văn Cừ, Phường Nguyễn Cư Trinh, Quận 1, TP Hồ Chí Minh",14.226178,106.688014
SHB Chi nhánh Huế - PGD 24,"Số 5 Hùng Vương, Phường Phú Hội, TP Huế",12.965622,103.71603
SHB Chi nhánh Thanh Hóa - PGD 25,"Số 21 Đại lộ Lê Lợi, Phường Lam Sơn, TP Thanh Hóa",22.906284,105.498203
SHB Chi nhánh Sài Gòn - PGD 26,"Số 235 Nguyễn Văn Cừ, Phường Nguyễn Cư Trinh, Quận 1, TP Hồ Chí Minh",10.515045,106.209315
SHB Chi nhánh Bắc Ninh - PGD 27,"Số 28 Lý Thái Tổ, Phường Suối Hoa, TP Bắc Ninh, Bắc Ninh",17.784671,107.039541
SHB Chi nhánh Cần Thơ - PGD 28,"Số 26-28 Lý Tự Trọng, Phường An Phú, Quận Ninh Kiều, Cần Thơ",22.74758,106.835753
SHB Chi nhánh Thanh Hóa - PGD 29,"Số 21 Đại lộ Lê Lợi, Phường Lam Sơn, TP Thanh Hóa",11.529667,105.749341
SHB Chi nhánh Huế - PGD 30,"Số 5 Hùng Vương, Phường Phú Hội, TP Huế",14.750797,105.586477
SHB Chi nhánh Hà Nội - PGD 31,"Số 77 Trần Hưng Đạo, Phường Trần Hưng Đạo, Quận Hoàn Kiếm, Hà Nội",11.184007,102.630255
SHB Chi nhánh Hà Nội - PGD 32,"Số 77 Trần Hưng Đạo, Phường Trần Hưng Đạo, Quận Hoàn Kiếm, Hà Nội",17.607964,104.635695
SHB Chi nhánh Phú Nhuận - PGD 33,"Số 153 Phan Xích Long, Phường 7, Quận Phú Nhuận, TP Hồ Chí Minh",23.236149,105.533125
SHB Chi nhánh Quảng Ninh - PGD 34,"Số 398 Trần Phú, Phường Cao Xanh, TP Hạ Long, Quảng Ninh",11.986063,104.107412
SHB Chi nhánh Long An - PGD 35,"Số 27 Hùng Vương, Phường 1, TP Tân An, Long An",11.797822,105.423229
SHB Chi nhánh Thái Nguyên - PGD 36,"Số 135 Hoàng Văn Thụ, Phường Phan Đình Phùng, TP Thái Nguyên",19.921444,105.022241
SHB Chi nhánh Thanh Hóa - PGD 37,"Số 21 Đại lộ Lê Lợi, Phường Lam Sơn, TP Thanh Hóa",11.480248,106.667993
SHB Chi nhánh Quảng Ninh - PGD 38,"Số 398 Trần Phú, Phường Cao Xanh, TP Hạ Long, Quảng Ninh",13.105774,103.241845
SHB Chi nhánh Phú Nhuận - PGD 39,"Số 153 Phan Xích Long, Phường 7, Quận Phú Nhuận, TP Hồ Chí Minh",13.38843,104.690581
SHB Chi nhánh Vũng Tàu - PGD 40,"Số 151 Lê Hồng Phong, Phường 8, TP Vũng Tàu",14.257988,103.228101
SHB Chi nhánh Cần Thơ - PGD 41,"Số 26-28 Lý Tự Trọng, Phường An Phú, Quận Ninh Kiều, Cần Thơ",15.455532,102.585853
SHB Chi nhánh Đà Nẵng - PGD 42,"Số 178 Nguyễn Văn Linh, Phường Nam Dương, Quận Hải Châu, Đà Nẵng",15.455666,103.745792
SHB Chi nhánh Long An - PGD 43,"Số 27 Hùng Vương, Phường 1, TP Tân An, Long An",15.52119,103.101752
SHB Chi nhánh Thăng Long - PGD 44,"Số 91 Nguyễn Chí Thanh, Phường Láng Hạ, Quận Đống Đa, Hà Nội",22.379519,103.622133
SHB Chi nhánh Tây Hà Nội - PGD 45,"Số 34 Lê Trọng Tấn, Phường La Khê, Quận Hà Đông, Hà Nội",22.048843,107.566805
SHB Chi nhánh Huế - PGD 46,"Số 5 Hùng Vương, Phường Phú Hội, TP Huế",19.340693,107.173179
SHB Chi nhánh Nghệ An - PGD 47,"Số 12 Lê Nin, Phường Hà Huy Tập, TP Vinh, Nghệ An",9.312038,107.87691
SHB Chi nhánh Hải Phòng - PGD 48,"Số 62 Quang Trung, Phường Quang Trung, Quận Hồng Bàng, Hải Phòng",9.238716,103.303194
SHB Chi nhánh Huế - PGD 49,"Số 5 Hùng Vương, Phường Phú Hội, TP Huế",17.713089,109.404217
SHB Chi nhánh Sài Gòn - PGD 50,"Số 235 Nguyễn Văn Cừ, Phường Nguyễn Cư Trinh, Quận 1, TP Hồ Chí Minh",23.124647,106.681629
SHB Chi nhánh Đồng Nai - PGD 51,"Số 222 Phạm Văn Thuận, Phường Tân Tiến, TP Biên Hòa, Đồng Nai",20.702369,105.748764
SHB Chi nhánh Đồng Nai - PGD 52,"Số 222 Phạm Văn Thuận, Phường Tân Tiến, TP Biên Hòa, Đồng Nai",19.616924,109.008444
SHB Chi nhánh Hà Nội - PGD 53,"Số 77 Trần Hưng Đạo, Phường Trần Hưng Đạo, Quận Hoàn Kiếm, Hà Nội",20.760587,104.38758
SHB Chi nhánh Cần Thơ - PGD 54,"Số 26-28 Lý Tự Trọng, Phường An Phú, Quận Ninh Kiều, Cần Thơ",19.430434,106.970648
SHB Chi nhánh Sài Gòn - PGD 55,"Số 235 Nguyễn Văn Cừ, Phường Nguyễn Cư Trinh, Quận 1, TP Hồ Chí Minh",15.382768,107.231853
SHB Chi nhánh Thăng Long - PGD 56,"Số 91 Nguyễn Chí Thanh, Phường Láng Hạ, Quận Đống Đa, Hà Nội",14.657045,108.86917
SHB Chi nhánh Cần Thơ - PGD 57,"Số 26-28 Lý Tự Trọng, Phường An Phú, Quận Ninh Kiều, Cần Thơ",17.009081,105.573174
SHB Chi nhánh Khánh Hòa - PGD 58,"Số 88 Trần Phú, Phường Lộc Thọ, TP Nha Trang, Khánh Hòa",17.848035,102.085117
SHB Chi nhánh Sài Gòn - PGD 59,"Số 235 Nguyễn Văn Cừ, Phường Nguyễn Cư Trinh, Quận 1, TP Hồ Chí Minh",16.212238,107.178823
SHB Chi nhánh Thăng Long - PGD 60,"Số 91 Nguyễn Chí Thanh, Phường Láng Hạ, Quận Đống Đa, Hà Nội",17.994634,107.902103
SHB Chi nhánh Sài Gòn - PGD 61,"Số 235 Nguyễn Văn Cừ, Phường Nguyễn Cư Trinh, Quận 1, TP Hồ Chí Minh",17.92249,102.614486
SHB Chi nhánh Bắc Ninh - PGD 62,"Số 28 Lý Thái Tổ, Phường Suối Hoa, TP Bắc Ninh, Bắc Ninh",18.182675,103.132835
SHB Chi nhánh Quảng Ninh - PGD 63,"Số 398 Trần Phú, Phường Cao Xanh, TP Hạ Long, Quảng Ninh",19.310587,105.927031
SHB Chi nhánh Đồng Nai - PGD 64,"Số 222 Phạm Văn Thuận, Phường Tân Tiến, TP Biên Hòa, Đồng Nai",18.472148,109.136799
SHB Chi nhánh Sài Gòn - PGD 65,"Số 235 Nguyễn Văn Cừ, Phường Nguyễn Cư Trinh, Quận 1, TP Hồ Chí Minh",17.270354,103.27083
SHB Chi nhánh Nghệ An - PGD 66,"Số 12 Lê Nin, Phường Hà Huy Tập, TP Vinh, Nghệ An",12.959253,107.364241
SHB Chi nhánh TP Hồ Chí Minh - PGD 67,"Số 41-43-45 Pasteur, Phường Nguyễn Thái Bình, Quận 1, TP Hồ Chí Minh",15.204675,102.77001
SHB Chi nhánh Cần Thơ - PGD 68,"Số 26-28 Lý Tự Trọng, Phường An Phú, Quận Ninh Kiều, Cần Thơ",19.963051,103.837004
SHB Chi nhánh Thăng Long - PGD 69,"Số 91 Nguyễn Chí Thanh, Phường Láng Hạ, Quận Đống Đa, Hà Nội",10.417948,107.21502
SHB Chi nhánh Cần Thơ - PGD 70,"Số 26-28 Lý Tự Trọng, Phường An Phú, Quận Ninh Kiều, Cần Thơ",14.973634,109.026275
SHB Chi nhánh Nghệ An - PGD 71,"Số 12 Lê Nin, Phường Hà Huy Tập, TP Vinh, Nghệ An",22.747226,106.512183
SHB Chi nhánh Long An - PGD 72,"Số 27 Hùng Vương, Phường 1, TP Tân An, Long An",9.715822,106.093319
SHB Chi nhánh Hà Nội - PGD 73,"Số 77 Trần Hưng Đạo, Phường Trần Hưng Đạo, Quận Hoàn Kiếm, Hà Nội",8.95255,108.649336
SHB Chi nhánh Nghệ An - PGD 74,"Số 12 Lê Nin, Phường Hà Huy Tập, TP Vinh, Nghệ An",21.466652,103.645798
SHB Chi nhánh Khánh Hòa - PGD 75,"Số 88 Trần Phú, Phường Lộc Thọ, TP Nha Trang, Khánh Hòa",18.916044,102.262185
SHB Chi nhánh Đồng Nai - PGD 76,"Số 222 Phạm Văn Thuận, Phường Tân Tiến, TP Biên Hòa, Đồng Nai",20.261403,104.371518
SHB Chi nhánh Nghệ An - PGD 77,"Số 12 Lê Nin, Phường Hà Huy Tập, TP Vinh, Nghệ An",12.407526,104.698543
SHB Chi nhánh Nghệ An - PGD 78,"Số 12 Lê Nin, Phường Hà Huy Tập, TP Vinh, Nghệ An",16.239789,109.049368
SHB Chi nhánh Sài Gòn - PGD 79,"Số 235 Nguyễn Văn Cừ, Phường Nguyễn Cư Trinh, Quận 1, TP Hồ Chí Minh",15.658157,104.210577
SHB Chi nhánh Bình Dương - PGD 80,"Số 481 Đại lộ Bình Dương, Phường Phú Cường, TP Thủ Dầu Một, Bình Dương",21.785468,106.010113
SHB Chi nhánh TP Hồ Chí Minh - PGD 81,"Số 41-43-45 Pasteur, Phường Nguyễn Thái Bình, Quận 1, TP Hồ Chí Minh",18.647295,107.345346
SHB Chi nhánh Quảng Ninh - PGD 82,"Số 398 Trần Phú, Phường Cao Xanh, TP Hạ Long, Quảng Ninh",13.276416,104.536365
SHB Chi nhánh Đà Nẵng - PGD 83,"Số 178 Nguyễn Văn Linh, Phường Nam Dương, Quận Hải Châu, Đà Nẵng",19.129823,106.635513
SHB Chi nhánh Quảng Ninh - PGD 84,"Số 398 Trần Phú, Phường Cao Xanh, TP Hạ Long, Quảng Ninh",16.997475,102.031185
SHB Chi nhánh TP Hồ Chí Minh - PGD 85,"Số 41-43-45 Pasteur, Phường Nguyễn Thái Bình, Quận 1, TP Hồ Chí Minh",12.070494,103.045653
SHB Chi nhánh Vũng Tàu - PGD 86,"Số 151 Lê Hồng Phong, Phường 8, TP Vũng Tàu",21.812321,105.767347
SHB Chi nhánh Đà Nẵng - PGD 87,"Số 178 Nguyễn Văn Linh, Phường Nam Dương, Quận Hải Châu, Đà Nẵng",17.644252,107.105874
SHB Chi nhánh Hải Phòng - PGD 88,"Số 62 Quang Trung, Phường Quang Trung, Quận Hồng Bàng, Hải Phòng",20.277103,107.722329
SHB Chi nhánh Vũng Tàu - PGD 89,"Số 151 Lê Hồng Phong, Phường 8, TP Vũng Tàu",20.823975,104.977166
SHB Chi nhánh Sài Gòn - PGD 90,"Số 235 Nguyễn Văn Cừ, Phường Nguyễn Cư Trinh, Quận 1, TP Hồ Chí Minh",13.615969,105.121243
SHB Chi nhánh Phú Nhuận - PGD 91,"Số 153 Phan Xích Long, Phường 7, Quận Phú Nhuận, TP Hồ Chí Minh",14.724542,106.645561
SHB Chi nhánh Hải Phòng - PGD 92,"Số 62 Quang Trung, Phường Quang Trung, Quận Hồng Bàng, Hải Phòng",18.813112,102.533056
SHB Chi nhánh Long An - PGD 93,"Số 27 Hùng Vương, Phường 1, TP Tân An, Long An",8.769606,104.38782
SHB Chi nhánh Sài Gòn - PGD 94,"Số 235 Nguyễn Văn Cừ, Phường Nguyễn Cư Trinh, Quận 1, TP Hồ Chí Minh",11.525944,107.210957
SHB Chi nhánh Nghệ An - PGD 95,"Số 12 Lê Nin, Phường Hà Huy Tập, TP Vinh, Nghệ An",21.58563,103.218771
SHB Chi nhánh Bắc Ninh - PGD 96,"Số 28 Lý Thái Tổ, Phường Suối Hoa, TP Bắc Ninh, Bắc Ninh",23.327069,103.841115
SHB Chi nhánh Bắc Ninh - PGD 97,"Số 28 Lý Thái Tổ, Phường Suối Hoa, TP Bắc Ninh, Bắc Ninh",23.392822,102.6741
SHB Chi nhánh Khánh Hòa - PGD 98,"Số 88 Trần Phú, Phường Lộc Thọ, TP Nha Trang, Khánh Hòa",13.892514,108.394977
SHB Chi nhánh Thăng Long - PGD 99,"Số 91 Nguyễn Chí Thanh, Phường Láng Hạ, Quận Đống Đa, Hà Nội",17.522807,102.164713
SHB Chi nhánh TP Hồ Chí Minh - PGD 100,"Số 41-43-45 Pasteur, Phường Nguyễn Thái Bình, Quận 1, TP Hồ Chí Minh",12.853183,107.649275
